"tag_id","Estimate","stdErr","t_val","p_val","name","ent1","ent2","n_times_tagged","unique_users"
1,0.191199896896801,0.0211517236539391,9.03944756583437,0.000000000000000000158185011849413,"beautiful","11.978600","15.316400",106934,12909
3,0.707974005738122,0.26491534541705,2.67245374035836,0.00753020109863604,"kicks+ass","8.419810","9.335040",729,134
5,0.16414551734904,0.0104415131582188,15.7204722018509,0.000000000000000000000000000000000000000000000000000000114090223472969,"alternative","11.457300","14.400200",786276,79168
6,0.0733079762634672,0.0109825573157712,6.67494593068913,0.0000000000247665378982255,"seen+live","13.599300","14.094600",961860,34294
7,0.162172340589129,0.293896032729421,0.551801734385557,0.581084527661918,"ambiant","7.468770","9.375780",830,267
8,-0.0140073791706303,0.0166148317435552,-0.843064762064995,0.399192762723084,"experimental","12.955600","14.874700",389670,46679
11,0.187662580177306,0.0227199534492206,8.25981358618247,0.000000000000000146366712455283,"80s","10.174900","13.457600",267184,27082
12,0.20758599960294,0.0315696432199094,6.57549400089597,0.0000000000485551332350751,"90s","10.743900","14.206300",176412,17167
13,0.297112060889516,0.0581147246094663,5.11250914266777,0.000000318063322637543,"club","11.739000","13.579900",26261,4667
14,0.151683034268522,0.0215620832038353,7.03471148101041,0.00000000000200013026227123,"dance","12.029600","14.997100",284778,34404
16,0.175997706104777,0.139154801510351,1.26476200745172,0.205957440366541,"dj","11.197700","12.561800",9331,2718
18,0.148857055501327,0.141627672582707,1.0510449885025,0.293238605172865,"east+coast","7.796590","10.021800",4536,1022
20,0.063782600015685,0.0296632010189515,2.15022646999341,0.0315379426211363,"electro","12.241100","14.871900",149807,23736
21,0.0838437124319044,0.0134983586396042,6.21140056139171,0.000000000525692238584611,"electronic","12.734300","15.413100",861140,73930
22,-0.0330521106922701,0.101520795478772,-0.325569855283306,0.744750004202845,"feel+good","10.597800","12.318400",7153,1330
23,0.0438713184605501,0.0342612345777766,1.28049438384824,0.200372110592178,"funk","10.907300","13.627100",145437,25530
24,0.321579905702126,0.257010917936093,1.25123052469735,0.210851165054036,"girls","10.174200","11.613100",3610,566
25,0.450318626861816,0.0572620755496636,7.86416878080594,0.00000000000000372535243158777,"happy","11.373900","13.628400",30280,6266
26,0.119439024887338,0.0326912045977207,3.65355227367994,0.00025867232218585,"hip+hop","11.609900","14.402900",134150,20282
28,0.0279156083666229,0.0223361989785565,1.24979224949701,0.211376227976177,"hip-hop","11.604100","14.257900",292471,33913
29,0.0489489515546531,0.127585210160364,0.383656941844031,0.701232947641508,"hiphop","11.382800","13.078600",19754,4017
32,0.144330950313506,0.0494628543158695,2.91796646816639,0.00352343146318378,"house","12.675500","15.153100",152440,19740
34,0.0818294955463824,0.169690982492788,0.482226541117824,0.629645305902145,"los+angeles","9.515390","10.798300",4672,1011
39,0.0841549583345355,0.0182067078756603,4.62219523206819,0.00000379826590010413,"pop","12.070500","15.430000",627718,54332
40,0.191674817689381,0.108740556007915,1.76268013265841,0.0779552677920917,"post+punk","10.282400","12.206800",14364,4029
41,0.0637491745664514,0.0426591193288002,1.49438562186662,0.135075698766735,"rap","11.584300","14.282700",183719,26833
42,0.0903722082453238,0.0303303854871357,2.97959313058036,0.00288649961133589,"reggae","10.285700","13.430200",147363,24553
43,-0.00865984289970104,0.043079615752867,-0.201019501877166,0.840683434034894,"russian","11.795200","13.153800",84321,13031
44,0.208064091443742,0.0501191662794009,4.15138772029527,0.0000330538257600967,"sexy","11.300800","14.131500",49031,8521
45,0.100401831098488,0.120777678729984,0.831294591469597,0.405807758484205,"tech+house","11.435000","12.853100",13911,2142
46,0.0512985262680498,0.0508009631571065,1.00979436372898,0.312594472548505,"techno","12.039600","14.505900",125738,20199
48,0.195483156882177,0.0154414772448937,12.6596149955032,0.0000000000000000000000000000000000010071393028858,"indie","11.822300","14.413900",758860,78175
49,0.0991360118679388,0.0222965452315403,4.44624989380429,0.00000874073238858146,"instrumental","12.290000","15.010200",284378,39276
50,0.173232776898334,0.101989874279643,1.69852917382123,0.0894087607539791,"math+rock","8.624620","9.970440",21434,5866
51,0.0431948064987821,0.0362936768361085,1.19014688684856,0.233989417912066,"post-punk","9.865570","12.263500",137194,20123
52,0.182388519266447,0.0117358803997457,15.5411024187327,0.000000000000000000000000000000000000000000000000000001901182065682,"rock","11.921200","15.469900",1445030,107954
64,0.141697829975622,0.0538470341633583,2.63148810658257,0.00850153204818723,"minimal","11.523800","13.842400",76602,11969
65,0.111388418229949,0.0678766977468656,1.64104062111792,0.100789821841138,"dark","11.711000","14.076000",34112,7315
66,0.0439788555030987,0.0473043927738504,0.929699186994109,0.352527453943219,"dark+ambient","10.944400","12.827600",78104,10628
67,-0.213486851427194,0.2736059466602,-0.780271240567483,0.435231729582146,"dark+wave","8.635050","11.050800",4669,1450
69,0.19854011538055,0.0848711131464927,2.33931320115782,0.0193197519642207,"dreamy","11.296300","13.615000",23003,4463
70,0.076925885435068,0.0596545135215693,1.2895233050095,0.197217014882503,"dub","10.873700","13.295300",61211,11688
71,0.15456725240789,0.0465274275255528,3.32206744770064,0.000893616280204115,"ebm","9.405360","12.045600",68920,8199
72,-0.0672463620870003,0.0992716098869303,-0.677397718880488,0.498154063124423,"glitch","10.576700","12.320000",25402,5439
74,0.0947025169991144,0.0838034573210834,1.1300550123639,0.25845376730867,"goth","9.170790","11.816000",25506,5114
75,0.14248130208417,0.0425212858511857,3.35082298740496,0.000805797345805484,"gothic","9.556170","12.374300",92011,15894
76,0.0871067188490899,0.0323956769106537,2.68883774490429,0.00717044294445376,"gothic+metal","7.833800","10.817900",99406,16442
